RA,DEC,zCMB,x1,e_x1,c,e_c,mB,e_mB
358.08264199999996,28.921984000000002,0.01154,-0.604491,0.0647578,0.030336099999999998,0.0271192,14.382520000000001,0.0411707
114.92168400000001,47.817104,0.013930000000000001,1.42688,0.11989000000000001,-0.00664131,0.029389099999999998,14.34404,0.046301300000000004
233.21369900000002,9.650922,0.01633,1.45491,0.11747,0.047613800000000005,0.029589999999999998,14.68971,0.0437603
240.23228500000002,21.059160000000002,0.01499,0.2649,0.061909900000000004,-0.026791500000000003,0.0285041,14.690479999999999,0.04330440000000001
128.181046,41.950378,0.01598,-1.07507,0.07133919999999999,0.00241584,0.0331789,14.92459,0.0554082
343.69928,14.569954999999998,0.0172,-0.7470720000000001,0.10672999999999999,-0.0824031,0.030991700000000004,14.796370000000001,0.0457404
240.2323,21.05913,0.01499,-0.49997600000000003,0.059035199999999996,-0.0459031,0.0276589,14.82293,0.0418841
130.216034,37.380077,0.020309999999999998,-0.119645,0.0599429,-0.054227,0.027899599999999997,15.13609,0.0409339
219.95794700000002,12.480862,0.01791,0.62685,0.05919730000000001,0.0341539,0.0285122,15.312439999999999,0.0416115
166.860977,12.774671000000001,0.01986,0.1045,0.34708,0.0576091,0.029126099999999995,15.42901,0.0419606
21.436489,23.027126000000003,0.0225,-0.235235,0.0480996,-0.0496111,0.0261814,15.39545,0.03916119999999999
189.511475,1.140952,0.025810000000000003,2.32044,0.21796,0.000957446,0.0290632,15.68675,0.042319300000000004
191.740097,0.747263,0.023790000000000002,-0.478941,0.12661,0.0049107,0.0345718,15.72243,0.0674755
244.753464,20.440077,0.02217,1.04334,0.085689,0.16557,0.0288738,15.85565,0.0426267
212.787262,1.987575,0.02026,-0.00203948,0.06417780000000001,0.15865,0.029124900000000002,15.93746,0.0423211
160.922226,23.220325,0.02534,0.6573,0.12013,-0.0619242,0.0291894,15.672,0.0427301
33.479527000000004,1.1206200000000002,0.02404,0.81934,0.0651384,0.0514594,0.029049000000000002,15.826789999999999,0.041947500000000006
258.139771,27.290798,0.0246,0.91179,0.17524,0.056699599999999996,0.0326888,15.86108,0.052151199999999995
161.86085500000002,26.942581,0.02409,-0.657165,0.35374,0.074378,0.0534664,15.964170000000001,0.13543
257.963959,26.902163,0.02489,-0.51772,0.14128,-0.0468924,0.0341527,15.78478,0.06284400000000001
209.67952,16.491879,0.02636,-0.221833,0.06700419999999999,-0.0446184,0.027944099999999996,15.89538,0.039858099999999994
253.225235,58.965359,0.0232,-1.00334,0.19134,0.0306092,0.037631599999999994,16.01914,0.10375
284.49215699999996,62.06918,0.029589999999999998,1.03637,0.11235,0.00743621,0.0303098,15.89546,0.0441672
193.01899699999998,63.054584999999996,0.02389,-1.48187,0.0684099,0.0761716,0.028375900000000003,16.1311,0.0411787
232.646591,0.89686,0.0259,-0.27181900000000003,0.0849353,0.041924300000000005,0.029529700000000002,16.06176,0.044302600000000004
133.07841499999998,25.452734,0.02433,-2.67727,0.10597000000000001,-0.0129482,0.0306022,16.058320000000002,0.0463089
35.036263,7.35204,0.026160000000000003,0.37329,0.07149019999999999,0.062104099999999995,0.0308628,16.00751,0.0467205
228.149979,55.264281999999994,0.030489999999999996,-0.170002,0.10545999999999998,0.034009,0.0299822,16.17137,0.0430664
192.225983,49.916824,0.0291,-0.5574140000000001,0.1073,-0.08359939999999999,0.029239799999999996,16.03441,0.042429699999999994
224.100189,2.7117169999999997,0.02628,-0.197229,0.0731108,-0.09298769999999999,0.033328500000000004,15.96979,0.06139259999999999
215.29165600000002,29.508564,0.02827,0.17968,0.0963159,-0.1067,0.028738999999999997,16.01449,0.041258300000000005
251.022842,48.0546,0.030660000000000003,1.2867600000000001,0.0931076,-0.038814999999999995,0.0305884,16.119139999999998,0.043911900000000004
196.32650800000002,33.5112,0.03313,0.8319799999999999,0.11019000000000001,-0.033119199999999994,0.0318989,16.19051,0.054990199999999996
104.210442,34.486286,0.029939999999999998,0.51422,0.0792407,0.036612599999999995,0.0293212,16.147370000000002,0.0433302
221.99614,11.08285,0.03308,1.95413,0.17987999999999998,0.0410387,0.0326489,16.30787,0.052601800000000004
44.398594,43.843246,0.03254,0.63571,0.13671,-0.07236619999999999,0.03422530000000001,15.765360000000001,0.06649769999999999
191.345779,25.027835999999997,0.026810000000000004,-0.0951768,0.08580080000000001,0.12725999999999998,0.0369971,16.48453,0.0594553
228.132004,14.534434,0.02283,-2.20263,0.20740999999999998,0.2568,0.0461379,16.68621,0.07509339999999999
336.41659500000003,8.560033,0.0299,0.3215,0.0586686,0.000172127,0.029259800000000002,16.17354,0.044251
161.64991799999999,26.739416,0.02474,-0.81932,0.08186660000000001,0.22211,0.0304482,16.6413,0.0444139
9.249297,24.140729999999998,0.033389999999999996,0.13039,0.12621,-0.015340000000000001,0.031100799999999998,16.33764,0.04606930000000001
172.193451,9.14439,0.026789999999999998,-2.10278,0.19118,-0.0647134,0.0426224,16.247889999999998,0.08418719999999999
348.387115,35.62104,0.03366,0.63578,0.0710257,-0.0837808,0.027255900000000003,16.09453,0.041156
307.457153,9.528535,0.032310000000000005,-0.322216,0.47463,-0.0993408,0.0634209,16.03742,0.13932999999999998
262.85888700000004,23.767979,0.03258,0.44366000000000005,0.0610521,-0.046475,0.027670900000000002,16.23365,0.0399791
71.55348199999999,1.740709,0.03162,-0.00182943,0.13589,0.00368215,0.0311185,16.21283,0.046676
289.422546,34.356173999999996,0.03013,1.82525,0.16499,0.040467,0.0315244,16.15691,0.0501622
259.39325,83.775711,0.02383,-1.3896899999999999,0.15136,0.23606999999999997,0.0337402,16.53304,0.0589294
